adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/rOwEWgbryAxp7D1xpzREqh3EOTX.jpg,[27],259693,en,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,43.5486,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,2016-06-08,The Conjuring 2,False,7.29,8751
True,/orG2vM8kSJCMVYqFmY2zRs8CWHI.jpg,[10749],698438,ko,스와핑 : 완벽한 이웃,"Couple Jin-goo and Joo-hee have been experiencing a lover's slump after their marriage. Meanwhile, a new couple in the neighborhood, Hyun-jin and Yoo-jeong came to the other couple's house to introduce themselves. They're attracted with each other's husbands and wives, and in the end, crosses the line that is not supposed to be crossed within neighbors. After that day, two couples' passion intensifies...",43.038,/3ArCpGHdnVqBjhkdRcQHSBYH1yA.jpg,2019-11-04,Swapping: Perfect Neighbor,False,5.8,56
False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,"[878, 28, 12]",24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",42.6582,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012-04-25,The Avengers,False,7.796,32898
False,/qkVbco5TOtKXYKV8M7l18O0QWQz.jpg,[35],1473222,es,El novio de mamá,"Leonardo, an optimistic travel agent, falls in love with Lucía, a mother trying to rebuild her life. But to become part of the family, he must first accomplish the most difficult task: winning the hearts of her two children.",41.8298,/8cqHaqqDH8TLhn0SCTMts0M65UK.jpg,2025-07-10,El novio de mamá,False,6.5,2
True,,"[10749, 18]",327618,en,Sensual Exposure,To please her lover Kelly accepts to undergo a special education,41.75,/c0sBmbrX8kZfFE3IVOKMFS97vhu.jpg,1993-01-01,Sensual Exposure,False,6.6,8
False,/5glVqIdebQH2ZYXhiYE0DLKjpgH.jpg,[27],1393382,en,Popeye's Revenge,The legend of Popeye haunts a group of counsellors as they intend to open a summer camp.,41.5436,/aHHCXbPjI6xHJoo5fkBNmPm2lo1.jpg,2025-02-12,Popeye's Revenge,False,5.2,39
False,/asO6UtEqDB9bdJzDDjnSzNZf3vY.jpg,"[18, 27, 9648, 878]",1422052,en,Descendent,"After a traumatic brain injury triggers terrifying visions of extraterrestrials and a newfound talent for drawing, a father-to-be begins to question his reality and becomes obsessed with the need to protect his family from an unseen threat.",41.5375,/Of1UCdomAu0mJY2SNHHGjhnvx9.jpg,2025-08-08,Descendent,False,6.1,24
False,/eQlEPgmcjfwHnLxv4yOzuNcbGoI.jpg,"[9648, 53, 10749]",460229,en,Kiss and Kill,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.",41.2342,/5QdNwga65k5iCE7fsghSdBmyVld.jpg,2017-08-08,Kiss and Kill,False,5.328,64
False,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",40.956,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.6,7688
False,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",40.5941,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,2025-03-26,A Working Man,False,6.7,1516
False,/eDVp3J8HqkXXMagnVKlm53dYJvJ.jpg,"[10752, 28]",1285247,en,Murder Company,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French Resistance behind enemy lines to assassinate a high-value Nazi target.",40.3339,/eUjzUUFm1dEUR6U4r0C6s9L2FEd.jpg,2024-07-05,Murder Company,False,5.9,19
False,,[],1052243,en,MANUEL,"In 1943, a Jewish family hides from the nazi roundups. Adam, a 10-year-old boy, following a strange dream, starts a mysterious countdown.",40.3089,/hpYt0ouIHcZhbxQDT4JFXLY3fih.jpg,2022-11-23,MANUEL,False,10.0,1
False,/tB8kue44etWDJ9ugex7oQ88UJCC.jpg,[18],1407635,es,La buena letra,"In a Valencian village, during the postwar period, Ana tries to get ahead with her family; the civil war has opened a deep wound in all of them, especially in her brother-in-law, Antonio. Ana tries to heal that wound with stews, secrets and silences, but when Isabel, newly married to Antonio, comes to the family, Ana’s attention and care will be worth little or nothing: the sacrifice does not always have its reward.",39.5228,/3bVMsq7jOsBAY2mlAkzkeQkf4M8.jpg,2025-04-30,The Good Manners,False,8.0,2
False,,[16],846817,ar,ليل,Night has to trick the mother of the missing child into sleeping to save her soul.,39.4346,/wtNHVaiEWwc05Iwzu1gravgvtDo.jpg,2024-09-07,Night,False,10.0,3
True,,[10749],1285807,ja,ADN-151 未亡人アパート 今宵かぎりは…。 松下紗栄子,,39.325,/wBOzbYcbBG6HUzfkYgObV7iu5ST.jpg,2018-02-01,Widow Apartment Tonight Only... Matsushita Saeko,False,0.0,0
False,/lCpUhIMeklfEvC6BlaxGmSwKXN0.jpg,"[18, 10749]",1477114,tl,Sorority,"A tale of seduction and mystery. A fearless pre-law student joins an elite sorority led by a powerful heiress. As secrets unfold, she’s torn between the woman who awakened her desire and a truth that could destroy them both.",39.2176,/zibf9SwgiEW7Od5kwdRLSoQygRd.jpg,2025-06-20,Sorority,False,6.6,5
False,/uB66OugiICp1lM5CMyUSqRifxWQ.jpg,"[16, 35, 14, 12, 10751]",1515395,en,Lego Disney Princess: Villains Unite,"After Ariel, Moana, Tiana, Rapunzel, and Snow White thwarted Gaston's plan to take over all of their kingdoms, he calls upon Ursula, Jafar, and the Evil Queen to help take the Princesses down once and for all. The Princesses learn about Gaston's scheme and recruit a few friends of their own with the help of Magic Mirror: Aurora, Belle, and Cinderella! Together, the Princesses team up for an ultimate showdown of good versus evil.",39.1529,/ajcRSuv1rYbrDxnlNN5xx5H44Ft.jpg,2025-08-24,Lego Disney Princess: Villains Unite,False,8.7,5
False,/bfh9Z3Ghz4FOJAfLOAhmc3ccnHU.jpg,"[12, 14]",671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",39.1044,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.901,28571
False,/A466i5iATrpbVjX30clP1Zyfp31.jpg,"[10749, 35, 18]",1307078,en,My Oxford Year,An ambitious American fulfilling her dream of studying at Oxford falls for a charming Brit hiding a secret that may upend her perfectly planned life.,38.8531,/jrhXbIOFingzdLjkccjg9vZnqIp.jpg,2025-07-31,My Oxford Year,False,7.101,380
False,/nViQZruGVd8M2RkFD5MCPjyjqgA.jpg,[27],1227003,en,Shadow of God,"While performing an unauthorized exorcism on his father, an elite exorcist suspects the entity he's doing battle with might be a holy being – perhaps even God.",38.7748,/vi6LF8rTdU4DeYrXTtUBqG9gFnX.jpg,2025-03-26,Shadow of God,False,5.7,32
False,/twsxsfao6ZOVvT8LfudH603MMi6.jpg,"[10751, 35, 16, 878]",519182,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",37.2692,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.02,2897
False,/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",36.9491,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,2024-12-19,Sonic the Hedgehog 3,False,7.662,2914
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53, 12, 9648]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",36.4981,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.029,6021
True,,[18],1285813,ja,ADN-179 夜去りの這姦 ~義父の肉欲~。 松下紗栄子,,35.796,/1EOqHL7HBZnr3vHRJrLIwDrmhFx.jpg,2018-08-07,A Night of Rape: Stepfather's Carnal Desire,False,0.0,0
True,,"[27, 16]",455773,en,淫夢2～恥辱の果肉祭～,"In First Night college girl Youri cannot make up her mind, whether to go all the way with her boyfriend. She hears a rumor that he is frequenting a massage parlor. Not only that, but the massage girl he has been seeing is said to be a dead ringer for Youri... In Second Night a man spies on the private life of a beautiful nurse, Megumi. The man's obsessive desire wanders between delusion and reality, giving life to a mysterious being. One day, the man has a sudden heart attack and is hospitalized. He comes under Megumi's care. Finally, his wild desire explodes...",35.776,/zdxan5zJFLe4shtnZhepK88ilag.jpg,2001-03-23,淫夢2～恥辱の果肉祭～,False,0.0,0
False,/vJbEUMeI2AxBUZKjP6ZVeVNNTLh.jpg,"[28, 53, 35]",749170,en,Heads of State,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",35.5734,/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,2025-06-24,Heads of State,False,6.9,705
False,/yAqL0makiGke5yYiVWpmBDSKIVP.jpg,"[27, 18, 53]",1278950,en,The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",35.4195,/uubL8yvtEBjz3V7DFQHjCuSQO8w.jpg,2025-04-18,The Ritual,False,5.8,156
False,/9nhjGaFLKtddDPtPaX5EmKqsWdH.jpg,"[10749, 878, 53]",950396,en,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",34.6465,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,2025-02-13,The Gorge,False,7.7,2979
False,/9ZhhlJbtLmzjvdbxbNzHZEBFdIZ.jpg,"[80, 53, 35]",1245993,en,Caught Stealing,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigate a treacherous underworld he never imagined.",34.4709,/cvda8s5J8YaHjTyEyXQpvD6f3iV.jpg,2025-08-26,Caught Stealing,False,6.988,128
False,/dAwq9PxcEfDsmHvtRgysjlYjMXF.jpg,"[18, 10749]",1476292,tl,Kalakal,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?",33.9603,/KwhyuZn24FOs4Dl52g9KLpS48a.jpg,2025-06-13,Kalakal,False,6.6,5
False,/j7KqDRzjbvIjDv7cdHz9G3ZYEQy.jpg,"[27, 28, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",33.7464,/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg,2025-04-16,Sinners,False,7.539,2461
False,/k24eZq5I3jyz4htPkZCRpnUmBzE.jpg,"[10749, 18]",1156593,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,33.5614,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,Your Fault,False,7.13,1339
