adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/7RY5uiuM97FqS5qvPHG2XW2ZruY.jpg,[18],1024592,en,God's Not Dead: In God We Trust,"In a time of profound political, civil, and spiritual turmoil, Reverend David Hill grapples with the crucial question: Does God still have a place in politics? Compelled to enter a congressional race after the sudden death of a favored incumbent, David faces off against state senator Peter Kane, a formidable opponent determined to push religion out of the public square and cause greater divide.",162.7726,/eb0KuIknUNKMunKTZQMn8hKyM7l.jpg,2024-09-12,God's Not Dead: In God We Trust,False,4.8,14
False,/rURNBQEStstxKwUao8TfWSykyab.jpg,"[28, 80, 53]",70196,en,The Veteran,"Soldier Robert Miller returns home from Afghanistan unable to fit back into society. Living on a violent council estate and finding work in undercover surveillance, he becomes obsessed with taking down a group of local gangsters who are intrinsically tied to a suspected terrorist cell. Taking the situation into his own hands, Robert embarks on a brutal quest for justice, with devastating consequences.",149.887,/i1gSsXTWtCmNQArmIeUpAysHEmi.jpg,2011-04-29,The Veteran,False,5.8,127
False,/Q2OajDi2kcO6yErb1IAyVDTKMs.jpg,"[27, 9648]",1078605,en,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",143.5962,/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,2025-08-04,Weapons,False,7.479,756
False,/IOEXDwaVH2IcSXIZhCg7g572ic.jpg,"[27, 9648, 53]",926606,en,The Home,"A troubled man starts working at a retirement home and realizes its residents and caretakers harbor sinister secrets. As he investigates the building and its forbidden fourth floor, he starts to uncover connections to his own past and upbringing as a foster child.",142.8176,/qyGY1k5GqAORsVhfZA3gFKirZWD.jpg,2025-07-24,The Home,False,6.342,38
False,/ot2LoRyfp73Mswc9Y5KrDJYcyU1.jpg,"[28, 53, 18]",1119878,en,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",142.0883,/cQN9rZj06rXMVkk76UF1DfBAico.jpg,2025-06-27,Ice Road: Vengeance,False,6.7,238
False,/4KN06gns94rQFoYQWDGunK7Cob4.jpg,"[35, 9648, 80]",744653,en,The Thursday Murder Club,A group of senior sleuths passionate about solving cold cases get plunged into a real-life murder mystery in this comic crime caper.,138.4735,/u0o7XtI0WWdLzlK9hVT8lQTB6Yd.jpg,2025-08-22,The Thursday Murder Club,False,6.729,299
False,/dcLV5rEXuQRW0ZlB7IMLArHMyWh.jpg,"[35, 14, 10751]",1125257,en,Freakier Friday,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",135.4171,/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,2025-08-06,Freakier Friday,False,6.92,156
True,,[18],1285810,ja,ADN-165 禁じられた背徳姦 3 ~若過きた義理の母~ 松下紗栄子,,133.976,/8HL0iyPBFailPkK4gKSyTkTILtg.jpg,2018-05-07,Forbidden Immoral Sex 3: Too Young Stepmother,False,10.0,1
False,/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,"[878, 12]",617126,en,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",127.4214,/x26MtUlwtWD26d0G0FXcppxCJio.jpg,2025-07-23,The Fantastic 4: First Steps,False,7.2,1176
False,/mOcMPfCJEvSREq8OZzg42gFgrGt.jpg,"[10749, 53]",1300116,de,Fall for Me,"Lilli is suspicious of her sister's new fiance, but when an attractive stranger enters her life, she's suddenly distracted by the thralls of desire.",121.4762,/nLTs9SNBuk3DuB8D0p3mSsPYN7J.jpg,2025-08-20,Fall for Me,False,6.107,84
False,/lWeaB9S77Os7VHOt8GH5JdfrBX3.jpg,"[16, 10751, 35, 12, 878]",1022787,en,Elio,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",116.0641,/w2ARwtc1zoh0pyfwmyhpZHwuXgK.jpg,2025-06-18,Elio,False,6.885,393
False,/kYsU56QEcwEr8jAQ6Vm3M8bXTWz.jpg,"[28, 35, 18, 37]",1429739,th,เขาชุมทอง คะนองชุมโจร,"At the tail end of World War II, a bandit leader and his crew go up against his sworn enemy and the Japanese army to rob a train full of gold.",115.4756,/7j6jZNhCTnsZy5QItpruDwyBWoo.jpg,2025-08-19,Gold Rush Gang,False,6.763,19
False,/7Zx3wDG5bBtcfk8lcnCWDOLM4Y4.jpg,"[10751, 878, 35, 12]",552524,en,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,114.3909,/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg,2025-05-17,Lilo & Stitch,False,7.316,1463
False,/u3Cfe21Cmv5cWs5VnFCz15HdfKO.jpg,[27],1389158,hi,माँ,A mother and daughter encounter a demon in a village where girls have been disappearing.,112.6032,/kc5n7LJUmvBsVxzAla1ONN8kouP.jpg,2025-06-20,Maa,False,7.308,26
False,/oBcvmHD7lbaX8RZ7NXvO05fIJef.jpg,"[10749, 18, 35]",1355666,ko,고백의 역사,A lovestruck teen plans to win the school heartthrob by going from curly to straight hair — until a new transfer student changes everything.,110.316,/pp6Rg9Ls2g7EaLhJriHx1gI99h.jpg,2025-08-28,Love Untangled,False,8.368,38
False,/zxi6WQPVc0uQAG5TtLsKvxYHApC.jpg,"[16, 14, 12, 28]",980477,zh,哪吒之魔童闹海,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",106.7339,/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg,2025-01-29,Ne Zha 2,False,8.1,339
False,/nZsKWhwhUL3Eg88SkIaJjuIZzpN.jpg,"[28, 35, 53]",1319895,en,Hostile Takeover,"Follows Pete, a professional hitman, as he faces a group of assassins after the boss of a crime syndicate suspects disloyalty due to his attendance at Workaholics Anonymous meetings.",105.0542,/vntwlS3CAKfoLTs90GaoK6lymBC.jpg,2025-08-08,Hostile Takeover,False,7.423,26
False,/a6bItEVaxgphpMswho1wVRerv4r.jpg,"[28, 12, 53, 80]",7451,en,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",103.8045,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,xXx,False,5.96,4530
False,/ySHUoK4utUOiSfCinw81H1TsV0E.jpg,"[878, 28, 27]",1241470,en,Osiris,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",102.1544,/3YtZHtXPNG5AleisgEatEfZOT2w.jpg,2025-07-25,Osiris,False,6.695,110
True,/u9JcPBbndSQ3mRnul8ME4Vk0BPI.jpg,[10749],1331072,ja,潮騒Glamorous 凪ひかる,"A J-cup that will leave an impact in your memory! Hikaru Nagi's long-awaited image is finally here! A stunning super body that will drive any man crazy! Everyone will take their breath away... this is a truly beautiful woman... A white nude body as clear as the light of the sea shining on gentle, windless waves. Voluptuous, divine breasts that sway with the tricks of gravity. Her beauty is still as good as ever.",98.306,/qCm9Cw1Gm2Ub2CQdrCzQWGlGMCy.jpg,2023-12-12,Glamorous Tides Hikaru Nagi,False,8.0,1
True,/m8ecW8Nausc28uUmLF9Uw3JtfzZ.jpg,[99],1304758,ja,超大型新人NO.1STYLE 白上咲花 AVデビュー,"S1 NO.1 STYLE changes today.  2024 - A super new star appears.  The most orthodox beautiful girl star of this century in the adult industry.  Her looks. Her clarity. Her smile. Her slender and beautiful tall figure.  A 'perfect' existence.  A genius AV idol is born.  Everything about her seems perfect.  However, she also has a childish side, playing innocently and enjoying herself innocently.  She eats gyoza with a smile.  Everyone smiles when they're with her.  This 20-year-old girl is sensitive when sexual intercourse begins. Her trembling reaction while still tense is erotic. Colorless and transparent, Shirakami Emika. AV DEBUT",92.63,/piVUtWLQL4hfaoB22NTGdJXRaOD.jpg,2024-04-24,Super Large Newcomer NO.1STYLE Sakura Shirakami AV Debut,False,10.0,2
False,/sItIskd5xpiE64bBWYwZintkGf3.jpg,"[28, 53, 80]",541671,en,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",91.0674,/lIpIFzENkZEOStamt76U3JRc0nC.jpg,2025-06-04,Ballerina,False,7.404,1484
False,/38yqp1vsaGt11T713W4TzCrjstn.jpg,"[18, 10749]",1506456,tl,Maalikaya,"Kara, a young inmate who unleashes her hidden sexual fantasies while serving time. After meeting Lila, a seductive inmate played by Jenn Rosa, Kara finds a new purpose in life. But her dark past still haunts her even behind bars.",90.4782,/4DJmVEm6JupITScpsSjyyrvOMGr.jpg,2025-07-25,Maalikaya,False,6.3,3
False,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,"[28, 878, 12]",986056,en,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",83.554,/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg,2025-04-30,Thunderbolts*,False,7.4,2481
False,/4WixdIabyjYJy8Tyw4AUPOLxAo4.jpg,"[18, 10749]",993234,cs,Hranice lásky,"After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them.",83.1887,/zdwRsbVA3lVDZEHrwHstNdlKoIq.jpg,2022-11-03,Borders of Love,False,6.2,26
False,/iZztGzckOMByRRQgsFh2yk3udkU.jpg,"[28, 27, 10749]",986206,en,Night Carnage,A blogger who is also a werewolf meets a dashing playboy with a dark secret of his own. Starring Logan Andrews and Christian Howard.,75.7226,/w0wjPQKhlqisSbylf1sWZiNyc2h.jpg,2025-07-29,Night Carnage,False,5.864,44
False,,"[878, 35, 18]",1365103,en,Marriage Unplugged,"Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.",72.2403,/3H99Wl52sBPRqXZ3LJjgODOLfwX.jpg,2024-10-28,Marriage Unplugged,False,7.0,9
False,/54mPXhtaUejdQtaCYeJPJP8ZfXX.jpg,"[18, 10749]",715287,ko,새엄마의 욕망,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",71.6824,/rYC6UyML4CU4zYiZVbDMrwnGyWW.jpg,2020-05-29,Stepmom's Desire,False,7.167,30
False,/1DTIRhw4cpLJlHlrPPbKzq6amHc.jpg,"[28, 18, 36]",1185528,zh,射雕英雄传：侠之大者,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",70.302,/fUCFEGFlMIFet9ja72JDAeG1he8.jpg,2025-01-29,Legends of the Condor Heroes: The Gallants,False,6.72,59
False,/uIpJPDNFoeX0TVml9smPrs9KUVx.jpg,"[27, 9648]",574475,en,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",69.6346,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,2025-05-14,Final Destination Bloodlines,False,7.1,2089
True,/9HNmUu5gk0NDWC5LdHfVnC7OHEw.jpg,[18],1015552,ja,働く女の艶めかしい完全着衣ファック 水野朝陽,"""Mizuno Chaoyang x Completely Clothed"" Being lured by sexual intercourse that is more obscene than naked... Beautiful CA Chaoyang entertains VIP customers obscenely with a blowjob! Sex that enjoys seducing juniors with big cocks! Masturbation that thrusts with a thick dildo from between the swimming swimsuits! Thick FUCK in the late-night office! Bitch SEX getting tipsy at the bar and seducing the captain! 3 rich productions of a clothed slut who dresses up in a costume that further enhances the completed proportions and invites a man!",69.114,/cbva0lvB7gnfl5bmO4OVm8lf6Ih.jpg,2016-12-13,Hot Sex With A Fully Dressed Working Woman Asahi Mizuno,False,9.667,3
False,/heMsXGykub43tU79I9hv6T1vHRc.jpg,"[18, 10749]",1470086,tl,Ligaw,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.",69.026,/yc8V3KEnhvPrzXpdYTXdTvjpOb5.jpg,2025-05-09,Ligaw,False,7.25,4
False,/qDAvAUsnRrvkFO5EtNq1XFfyYTL.jpg,"[16, 10751, 14]",974397,en,My Freaky Family,"On the cusp of her 13th birthday, Betty Flood – budding musician and magical being – just wants to be like the rest of her fabulous, but very different family, so why is her magical Mum so against it? As Betty wrestles with this, she also learns the amazing truth about her family and discovers that the not so normal, the magical and the musical are all a part of her fabulously freaky family. It's very freaky, so be freaked freaky ahh deaky peaky neaky seaky peaky poo.",66.1831,/h34lkT2CFufYuzmP0CEgn4lghyY.jpg,2024-04-25,My Freaky Family,False,6.2,4
False,/fMlAg1CyHTsCktwQrp74rl9RMwJ.jpg,"[27, 53]",138843,en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",65.7077,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,2013-07-18,The Conjuring,False,7.539,12087
False,,[27],1354441,es,La hacienda: El regreso de los malditos,A group of friends return to their hometown after many years. The trip is an excuse to reminisce about old times but turns into a nightmare when they unearth their darkest memories.,64.6739,/vXUfuM7tPvAL8HjjnsFO4yYbKUs.jpg,2025-03-09,La hacienda: El regreso de los malditos,False,0.0,0
False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"[28, 80, 53]",1419406,zh,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,63.1352,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,2025-08-16,The Shadow's Edge,False,7.5,20
False,/cT9ZfwoPDk8JbgkessmQgxAWiaM.jpg,"[28, 878, 53]",1071585,en,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",62.4142,/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,2025-06-25,M3GAN 2.0,False,7.5,788
False,/2IIKts2A9vnUdM9tTC76B8tDmuZ.jpg,[27],1151031,en,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",62.1094,/tObSf1VzzHt9xB0csanFtb3DRjf.jpg,2025-05-28,Bring Her Back,False,7.395,749
False,/zav0v7gLWMu6pVwgsIAwt11GJ4C.jpg,"[27, 53, 878]",1100988,en,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",61.8436,/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,2025-06-18,28 Years Later,False,6.8,1344
False,/2VGfjnT3RpjOKADbwgbmXCFSbH.jpg,"[27, 53]",1443260,en,Rob1n,"When a robotics expert channels the grief of losing his 11 year-old son into building 'Robin', a fully functioning robotic doll, a series of horrific events makes it clear Robin will do whatever it takes to have his creator all to himself.",61.5862,/5lJ2ftNE18iYGCdOQsQirzHHtnX.jpg,2025-03-20,Rob1n,False,5.2,40
False,/7Q2CmqIVJuDAESPPp76rWIiA0AD.jpg,"[28, 12, 18]",1011477,en,Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",61.0239,/AEgggzRr1vZCLY86MAp93li43z.jpg,2025-05-08,Karate Kid: Legends,False,7.1,779
False,/yujcZMkNKtNXPvRGyTA3e3VCrbx.jpg,"[28, 14, 10752]",1155281,zh,封神第二部：战火西岐,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.",60.9525,/dfUCs5HNtGu4fofh83uiE2Qcy3v.jpg,2025-01-29,Creation of the Gods II: Demon Force,False,6.429,98
False,/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,"[35, 10749]",1403735,te,లైలా,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",60.4161,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,2025-02-14,Laila,False,5.8,5
False,/y7tjLYcq2ZGy2DNG0ODhGX9Tm60.jpg,"[28, 35, 80]",1106289,en,The Pickup,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,60.288,/vFWvWhfAvij8UIngg2Vf6JV95Cr.jpg,2025-07-27,The Pickup,False,6.557,325
True,/yjPvJAhinwHo7wSac218mLUQCF9.jpg,[10749],671076,ko,누나의 맛,"After graduating from college, Minji, whose goal is to meet and marry a man with a lot of money rather than a job, spends more time in the club than in the library and lives every day.  One day, Min-ji pretends to know a man he doesn't know at a convenience store  . Tae-soo's father, who failed in business, left himself and his mother and fled, and the mother who had struggled to build a home alone died of cancer three years ago. Min-ji is starting to live together because Tae-soo is now unhappy, saying that she is living hard at the Gosiwon in Seoul alone.",60.172,/qwQqmoCTG229uyDA7mYnOLi36SD.jpg,2019-12-10,Sister's Taste,False,4.0,1
False,/dzY2ZYyPRbXcw8UOupHK3V5VQYk.jpg,[10749],259872,fr,Des jours plus belles que la nuit,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",58.4447,/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg,2009-10-10,Skin. Like. Sun.,False,5.986,109
False,/vQT4Y4nbpmlysVi0u99VdIbK8de.jpg,"[10751, 12, 53]",997892,en,The Island of Lost Girls,"Three young sisters live in a house waiting to be adopted, and more importantly, not to be separated. With nothing left to lose, they decide to take a day off and escape to the beach.",57.0252,/eteV3jMCCXKuUSl4rgjATzu4GuO.jpg,2024-12-19,The Island of Lost Girls,False,3.333,3
False,/9whEVuKte4Qi0LI4TzPf7glinJW.jpg,"[16, 10751, 14]",936108,en,Smurfs,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",56.8221,/8o6lkhL32xQJeB52IIG1us5BVey.jpg,2025-07-05,Smurfs,False,6.1,160
False,/j5FNYFaSXmD3T0WAYDAvguEPVOv.jpg,[18],1495723,tr,Metruk Adam,"After serving time in prison for his brother's crime, a man warily reunites with family, finding hope and healing in a life-changing bond with his niece.",55.8884,/9jrhldzLHXia0uieyqK8UJ8PNAG.jpg,2025-08-22,Abandoned Man,False,7.705,39
False,/5QKddKk1qEe8CwWYpklmKq68uyo.jpg,"[10749, 18]",1312946,en,The Map That Leads to You,"Heather is a young woman traveling Europe with friends before starting her perfectly planned life. A chance meeting with Jack sparks an unexpected romance that leads to deep emotional discovery. As secrets and life choices test their bond, her path changes forever.",53.6704,/uwvKQIjJpC37IEsEj4ZAn1ITyRy.jpg,2025-08-19,The Map That Leads to You,False,6.598,143
False,/bP6BqIljp4a3BqhxN7YPckcpKI.jpg,"[28, 18, 36]",1195631,en,William Tell,"The narrative unfolds in the 14th Century, when the European nations vie for supremacy within the Holy Roman Empire. The ambitious Austrian Empire, desiring more land, invades neighbouring Switzerland, a serene and pastoral nation. Protagonist William Tell, a formerly peaceful hunter, finds himself forced to take action as his family and homeland come under threat from the oppressive Austrian King and his ruthless warlords.",53.4996,/8SdaetXSTPyQVDb5pTEPRLBSx15.jpg,2025-01-17,William Tell,False,6.5,117
